地方, 振興局, 地点番号, 観測所名, よみがな, ローマ字表記, 所在地, Latitude, Latitude_3, Longitude, Longitude_4, Start Year-Start Month-Start Day, End Year-End Month-End Day, Old Station Number, 実測開始日, 実測終了日, 特別警戒情報判定除外開始日, 特別警戒情報判定除外終了日
北海道, 宗谷, 11001, 宗谷岬, そうやみさき, SOYAMISAKI, 稚内市宗谷岬, 45, 31.2, 141, 56.1, 2010-05-01, 9999-99-99, 11001, , , , 
北海道, 宗谷, 11016, 稚内, わっかない, WAKKANAI, 稚内市開運　稚内地方気象台, 45, 24.9, 141, 40.7, 2010-05-01, 9999-99-99, 11016, , , , 
北海道, 宗谷, 11046, 礼文, れぶん, REBUN, 礼文郡礼文町大字香深村トンナイ, 45, 18.3, 141, 2.7, 2010-05-01, 9999-99-99, 11046, , , , 
北海道, 宗谷, 11076, 浜鬼志別, はまおにしべつ, HAMAONISHIBETSU, 宗谷郡猿払村浜鬼志別, 45, 20.1, 142, 10.2, 2010-05-01, 9999-99-99, 11076, , , , 
北海道, 宗谷, 11121, 沼川, ぬまかわ, NUMAKAWA, 稚内市声問村沼川, 45, 14.9, 141, 51.1, 2010-05-01, 9999-99-99, 11121, , , , 
北海道, 宗谷, 11151, 沓形, くつがた, KUTSUGATA, 利尻郡利尻町沓形泉町, 45, 10.7, 141, 8.3, 2010-05-01, 9999-99-99, 11151, , , , 
北海道, 宗谷, 11176, 豊富, とよとみ, TOYOTOMI, 天塩郡豊富町豊富東2条, 45, 6.1, 141, 46.8, 2010-05-01, 9999-99-99, 11176, , , , 
北海道, 宗谷, 11206, 浜頓別, はまとんべつ, HAMATOMBETSU, 枝幸郡浜頓別町クッチャロ湖畔, 45, 7.5, 142, 21.0, 2010-05-01, 9999-99-99, 11206, , , , 
北海道, 宗谷, 11276, 中頓別, なかとんべつ, NAKATOMBETSU, 枝幸郡中頓別町上駒, 44, 57.9, 142, 16.8, 2010-05-01, 9999-99-99, 11276, , , , 
北海道, 宗谷, 11291, 北見枝幸, きたみえさし, KITAMI-ESASHI, 枝幸郡枝幸町本町　北見枝幸特別地域気象観測所, 44, 56.4, 142, 35.1, 2010-05-01, 9999-99-99, 11291, , , , 
北海道, 宗谷, 11316, 歌登, うたのぼり, UTANOBORI, 枝幸郡枝幸町歌登東町, 44, 50.5, 142, 28.8, 2010-05-01, 9999-99-99, 11316, , , , 
北海道, 上川, 12011, 中川, なかがわ, NAKAGAWA, 中川郡中川町中川, 44, 49.7, 142, 4.6, 2010-05-01, 9999-99-99, 12011, , , , 
北海道, 上川, 12041, 音威子府, おといねっぷ, OTOINEPPU, 中川郡音威子府村音威子府, 44, 43.6, 142, 15.9, 2010-05-01, 9999-99-99, 12041, , , , 
北海道, 上川, 12141, 美深, びふか, BIFUKA, 中川郡美深町西町, 44, 28.8, 142, 20.5, 2010-05-01, 9999-99-99, 12141, , , , 
